Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,combined_text
Wound Care System,A-8004,Boston Scientific,Rev. 10.9,2025-02-07,Class IIb,IDE601156,All,Intended for patient positioning verification in quality assurance and device validation protocols.,Avoid use in patients with active autoimmune disorders or compromised respiratory function.,Chemical Sterilization,6,6,13.0,,22.0,Device Name: Wound Care System. Model: A-8004. Manufacturer: Boston Scientific. Indications: Intended for patient positioning verification in quality assurance and device validation protocols.. Contraindications: Avoid use in patients with active autoimmune disorders or compromised respiratory function..
Wound Care System,Plus836,Sartorius,Version 1,2024-12-14,Class IIb,K937257,Infant (0-2),Intended for alarm management guidance during minimally invasive transplant procedures.,Not recommended for patients with pacemakers or severe severe diabetes.,Ethylene Oxide (EtO),6,4,4.0,4.01,38.0,Device Name: Wound Care System. Model: Plus836. Manufacturer: Sartorius. Indications: Intended for alarm management guidance during minimally invasive transplant procedures.. Contraindications: Not recommended for patients with pacemakers or severe severe diabetes..
Electrosurgical Unit,A-6127,Synthes,2023-11-V,2024-05-13,Class I,Q596086,Neonatal,Used for long-term cardiac therapy delivery in ambulatory care settings for cardiac disorders patients.,Avoid use in patients with respiratory failure or severe coagulopathy.,Single-Use Sterile,15,15,14.0,2.31,40.0,Device Name: Electrosurgical Unit. Model: A-6127. Manufacturer: Synthes. Indications: Used for long-term cardiac therapy delivery in ambulatory care settings for cardiac disorders patients.. Contraindications: Avoid use in patients with respiratory failure or severe coagulopathy..
Dialysis Machine,B-3155,Beckman Coulter,Version 11,2024-04-22,Class I,,Adult and Pediatric,Intended for surgical assistance therapy in intensive care unit environments for critically ill patients.,None,Hydrogen Peroxide Plasma,15,14,17.0,77.15,15.0,Device Name: Dialysis Machine. Model: B-3155. Manufacturer: Beckman Coulter. Indications: Intended for surgical assistance therapy in intensive care unit environments for critically ill patients.. Contraindications: None.
CPAP Machine,Plus616,Alcon,2022-01-E,2024-10-02,Class IIa,Q125356,Adult and Pediatric,Indicated for diagnostic infection prevention to assess stroke in clinical environments.,Do not use during general anesthesia administration or in comatose.,UV Sterilization,10,5,14.0,15.06,30.0,Device Name: CPAP Machine. Model: Plus616. Manufacturer: Alcon. Indications: Indicated for diagnostic infection prevention to assess stroke in clinical environments.. Contraindications: Do not use during general anesthesia administration or in comatose..
Orthopedic Implant,C-1497,Cook Medical,2020-10-A,2016-12-11,Class I,P561326,Adult and Pediatric,Intended for wound care evaluation in rehabilitation medicine for diabetes recovery.,Avoid use in patients with severe osteoporosis or uncontrolled active infections.,Steam Sterilization,6,9,12.0,0.05,41.0,Device Name: Orthopedic Implant. Model: C-1497. Manufacturer: Cook Medical. Indications: Intended for wound care evaluation in rehabilitation medicine for diabetes recovery.. Contraindications: Avoid use in patients with severe osteoporosis or uncontrolled active infections..
Surgical Robot,C-8675,Smith & Nephew,Rev. 6.8,2025-04-09,Class II,H634420,All,Indicated for diagnostic imaging to assess chronic conditions in clinical environments.,Avoid use in patients with severe diabetes or severe bleeding disorders.,Pre-Sterilized,16,15,3.0,16.38,35.0,Device Name: Surgical Robot. Model: C-8675. Manufacturer: Smith & Nephew. Indications: Indicated for diagnostic imaging to assess chronic conditions in clinical environments.. Contraindications: Avoid use in patients with severe diabetes or severe bleeding disorders..
Nebulizer,Max472,Mindray,v1.8,2023-04-13,Class II,IDE789827,Geriatric,Intended for mobility restoration therapy in intensive care unit environments for critically ill patients.,Avoid use in patients with heart valves or ocular implants. Not suitable for patient transport.,Pre-Sterilized,5,6,6.0,2.42,18.0,Device Name: Nebulizer. Model: Max472. Manufacturer: Mindray. Indications: Intended for mobility restoration therapy in intensive care unit environments for critically ill patients.. Contraindications: Avoid use in patients with heart valves or ocular implants. Not suitable for patient transport..
ECG Machine,Max231,Karl Storz,v5.7,2025-10-20,Class III,PMA837833,Neonatal,Indicated for cardiac output surveillance in infection control protocols.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Pre-Sterilized,2,9,11.0,2.88,35.0,Device Name: ECG Machine. Model: Max231. Manufacturer: Karl Storz. Indications: Indicated for cardiac output surveillance in infection control protocols.. Contraindications: Contraindicated in presence of radio frequencies or MRI environments exposure..
ECG Machine,Model 987,Sonova,Rev. 6.7,2023-04-25,Class I,PMA129167,Neonatal,Indicated for diagnostic measurement to assess cancer in clinical environments.,Avoid use if patient has thrombocytopenia or history of embolism.,Not Applicable,10,14,3.0,12.14,35.0,Device Name: ECG Machine. Model: Model 987. Manufacturer: Sonova. Indications: Indicated for diagnostic measurement to assess cancer in clinical environments.. Contraindications: Avoid use if patient has thrombocytopenia or history of embolism..
Pacemaker,HOY473,Hoya Corporation,v14.3,2018-01-30,Class IIb,IDE500402,Adult,Intended for medication administration delivery in palliative care settings for terminal patients.,Not recommended for use in radiation therapy patients or those with malignant hyperthermia.,Steam Sterilization,3,5,10.0,0.11,40.0,Device Name: Pacemaker. Model: HOY473. Manufacturer: Hoya Corporation. Indications: Intended for medication administration delivery in palliative care settings for terminal patients.. Contraindications: Not recommended for use in radiation therapy patients or those with malignant hyperthermia..
X-Ray Machine,Model 9525,Sartorius,v14.6,2024-12-27,Class II,MDR-264230,Adult,Designed for cardiac therapy optimization in chronic disease management programs.,Avoid use if patient has severe cardiac arrhythmias or is receiving antiseptics.,Dry Heat,7,15,8.0,19.22,23.0,Device Name: X-Ray Machine. Model: Model 9525. Manufacturer: Sartorius. Indications: Designed for cardiac therapy optimization in chronic disease management programs.. Contraindications: Avoid use if patient has severe cardiac arrhythmias or is receiving antiseptics..
Surgical Robot,IDE193,IDEXX Laboratories,Rev. 9.8,2024-12-15,Class II,UKCA44382,Infant (0-2),Used for intraoperative device maintenance monitoring during complex vascular surgeries.,Do not use in combination with conductive gels or fluid resuscitation modalities.,,21,21,4.0,11.55,40.0,Device Name: Surgical Robot. Model: IDE193. Manufacturer: IDEXX Laboratories. Indications: Used for intraoperative device maintenance monitoring during complex vascular surgeries.. Contraindications: Do not use in combination with conductive gels or fluid resuscitation modalities..
Blood Glucose Monitor,Model 8521,Dexcom,v13.3,2018-03-27,Class III,NMPA-697252,Geriatric,Used for oxygen therapy guidance in oncology treatment centers for cancer patients.,Contraindicated in patients with peripheral vascular disease or frostbite risk.,Ethylene Oxide (EtO),14,20,5.0,0.38,31.0,Device Name: Blood Glucose Monitor. Model: Model 8521. Manufacturer: Dexcom. Indications: Used for oxygen therapy guidance in oncology treatment centers for cancer patients.. Contraindications: Contraindicated in patients with peripheral vascular disease or frostbite risk..
Catheter,Model 1177,Nipro Corporation,v1.3,2022-01-24,Class IIb,CE1091,Adult and Pediatric,Intended for disease management therapy in intensive care unit environments for critically ill patients.,Do not use if malformations is present or incision is infected.,Ethylene Oxide (EtO),9,4,13.0,8.8,17.0,Device Name: Catheter. Model: Model 1177. Manufacturer: Nipro Corporation. Indications: Intended for disease management therapy in intensive care unit environments for critically ill patients.. Contraindications: Do not use if malformations is present or incision is infected..
Digital Thermometer,Model 9674,Karl Storz,Rev. 6.3,2019-06-10,Class III,H137053,Adult (>65),Indicated for pH levels surveillance in infection control protocols.,Avoid use in patients with peripheral vascular disease or uncontrolled stroke.,Hydrogen Peroxide Plasma,8,12,7.0,0.25,25.0,Device Name: Digital Thermometer. Model: Model 9674. Manufacturer: Karl Storz. Indications: Indicated for pH levels surveillance in infection control protocols.. Contraindications: Avoid use in patients with peripheral vascular disease or uncontrolled stroke..
X-Ray Machine,Max128,Steris,v14.8,2022-10-26,Class III,D306158,Geriatric,Used for emergency surgical intervention in acute respiratory conditions situations requiring immediate care.,Avoid use in patients with severe hypertension or severe epilepsy.,Dry Heat,9,7,13.0,8.15,37.0,Device Name: X-Ray Machine. Model: Max128. Manufacturer: Steris. Indications: Used for emergency surgical intervention in acute respiratory conditions situations requiring immediate care.. Contraindications: Avoid use in patients with severe hypertension or severe epilepsy..
Blood Glucose Monitor,Pro191,Dentsply Sirona,Rev. 9.3,2022-05-03,Class I,HC-758559,Adult,Designed for home-based wound irrigation in stable paralyzed patients with chronic cardiac disorders.,Do not use during general anesthesia administration or in sedated.,Not Applicable,11,19,4.0,0.24,25.0,Device Name: Blood Glucose Monitor. Model: Pro191. Manufacturer: Dentsply Sirona. Indications: Designed for home-based wound irrigation in stable paralyzed patients with chronic cardiac disorders.. Contraindications: Do not use during general anesthesia administration or in sedated..
X-Ray Machine,A-5663,Becton Dickinson,v9.8,2024-05-17,Class II,K678910,Adult,Used for therapeutic thermal therapy in pregnant patients requiring wound debridement.,Not recommended for patients with thrombocytopenia or severe peripheral vascular disease.,Pre-Sterilized,2,15,3.0,17.4,31.0,Device Name: X-Ray Machine. Model: A-5663. Manufacturer: Becton Dickinson. Indications: Used for therapeutic thermal therapy in pregnant patients requiring wound debridement.. Contraindications: Not recommended for patients with thrombocytopenia or severe peripheral vascular disease..
Nebulizer,A-7016,Baxter International,2024-11-Y,2017-07-14,Class III,NMPA-185470,Adult and Pediatric,Indicated for diagnostic measurement to assess stroke in clinical environments.,None,UV Sterilization,4,15,6.0,7.1,32.0,Device Name: Nebulizer. Model: A-7016. Manufacturer: Baxter International. Indications: Indicated for diagnostic measurement to assess stroke in clinical environments.. Contraindications: None.
Pulse Oximeter,Plus978,Richard Wolf,2024-02-F,2022-10-20,Class III,IVDR-422732,Adult and Pediatric,Intended for surgical ophthalmic procedures in operating room settings.,Do not use in patients with metal implants or severe hepatic dysfunction.,Chemical Sterilization,7,6,6.0,0.14,31.0,Device Name: Pulse Oximeter. Model: Plus978. Manufacturer: Richard Wolf. Indications: Intended for surgical ophthalmic procedures in operating room settings.. Contraindications: Do not use in patients with metal implants or severe hepatic dysfunction..
Orthopedic Implant,Pro375,Synthes,v1.3,2022-04-12,Class IIa,HC-108272,Adult (>65),Intended for documentation verification in quality assurance and device validation protocols.,Avoid use if patient has skin allergies or history of blood clots.,Not Applicable,5,15,8.0,0.02,41.0,Device Name: Orthopedic Implant. Model: Pro375. Manufacturer: Synthes. Indications: Intended for documentation verification in quality assurance and device validation protocols.. Contraindications: Avoid use if patient has skin allergies or history of blood clots..
Ultrasound Scanner,JOH475,Johnson & Johnson,v11.8,2024-03-30,Class I,TGA-342880,Adult and Pediatric,Intended for surgical vascular procedures in operating room settings.,Do not use in patients with epilepsy. Contraindicated in chemical exposure areas.,Not Applicable,2,5,9.0,,33.0,Device Name: Ultrasound Scanner. Model: JOH475. Manufacturer: Johnson & Johnson. Indications: Intended for surgical vascular procedures in operating room settings.. Contraindications: Do not use in patients with epilepsy. Contraindicated in chemical exposure areas..
Blood Glucose Monitor,X-1939,Danaher,Rev. 8.1,2023-02-11,Class IIa,D545334,Adult,Used for emergency stent placement in acute stroke situations requiring immediate care.,Avoid use in patients with severe hypertension or severe metal implants.,Pre-Sterilized,13,18,4.0,0.43,23.0,Device Name: Blood Glucose Monitor. Model: X-1939. Manufacturer: Danaher. Indications: Used for emergency stent placement in acute stroke situations requiring immediate care.. Contraindications: Avoid use in patients with severe hypertension or severe metal implants..
Surgical Drill,Max717,Cook Medical,v3.1,2019-01-11,Class IIa,K688244,Adult (>65),Indicated for respiratory rate analysis in laboratory diagnostic testing environments.,Avoid use in patients with penile implants or vascular stents. Not suitable for cleaning protocols.,Dry Heat,15,29,10.0,17.02,14.0,Device Name: Surgical Drill. Model: Max717. Manufacturer: Cook Medical. Indications: Indicated for respiratory rate analysis in laboratory diagnostic testing environments.. Contraindications: Avoid use in patients with penile implants or vascular stents. Not suitable for cleaning protocols..
Insulin Pump,Model 7961,Synthes,Version 3,2016-12-14,Class III,,Adult (18-65),Designed for intubation facilitation in telemedicine and remote patient monitoring.,Avoid use in patients with epilepsy or uncontrolled severe diabetes.,Autoclave,14,16,10.0,6.16,25.0,Device Name: Insulin Pump. Model: Model 7961. Manufacturer: Synthes. Indications: Designed for intubation facilitation in telemedicine and remote patient monitoring.. Contraindications: Avoid use in patients with epilepsy or uncontrolled severe diabetes..
Catheter,B-6573,Hologic,v12.2,2022-06-23,Class I,Q817133,Adult,Designed for chemotherapy optimization in chronic disease management programs.,Contraindicated in patients with malignant hyperthermia or unable to follow instructions.,Pre-Sterilized,2,12,3.0,19.18,39.0,Device Name: Catheter. Model: B-6573. Manufacturer: Hologic. Indications: Designed for chemotherapy optimization in chronic disease management programs.. Contraindications: Contraindicated in patients with malignant hyperthermia or unable to follow instructions..
Orthopedic Implant,Pro714,Terumo,2021-08-C,2020-04-09,Class III,P340746,Adult,Indicated for emergency pH levels stabilization in trauma center resuscitation rooms.,Not suitable for use in hyperbaric chambers with radiation or during training scenarios.,Not Applicable,2,7,23.0,0.01,40.0,Device Name: Orthopedic Implant. Model: Pro714. Manufacturer: Terumo. Indications: Indicated for emergency pH levels stabilization in trauma center resuscitation rooms.. Contraindications: Not suitable for use in hyperbaric chambers with radiation or during training scenarios..
ECG Machine,B-4704,Stryker,Rev. 3.2,2025-01-16,Class I,NMPA-747748,Neonatal,Designed for wound care in patients with stroke under medical supervision.,"Not recommended during pregnancy, lactation, or in sedated under 19 years.",Dry Heat,5,10,15.0,9.56,36.0,"Device Name: ECG Machine. Model: B-4704. Manufacturer: Stryker. Indications: Designed for wound care in patients with stroke under medical supervision.. Contraindications: Not recommended during pregnancy, lactation, or in sedated under 19 years.."
Blood Glucose Monitor,Max658,Baxter International,2020-09-V,2023-02-13,Class IIb,IVDR-684243,Pediatric (2-18),Used for emergency wound debridement in acute critical illness situations requiring immediate care.,"Not recommended during pregnancy, lactation, or in paralyzed under 19 years.",Not Applicable,13,16,3.0,0.21,16.0,"Device Name: Blood Glucose Monitor. Model: Max658. Manufacturer: Baxter International. Indications: Used for emergency wound debridement in acute critical illness situations requiring immediate care.. Contraindications: Not recommended during pregnancy, lactation, or in paralyzed under 19 years.."
Electrosurgical Unit,Model 8743,Richard Wolf,2022-03-S,2016-12-17,Class III,MDR-356048,Neonatal,Intended for alarm management verification in quality assurance and device validation protocols.,Avoid use in patients with cardiomyopathy or uncontrolled malignant hyperthermia.,Chemical Sterilization,14,28,,16.07,16.0,Device Name: Electrosurgical Unit. Model: Model 8743. Manufacturer: Richard Wolf. Indications: Intended for alarm management verification in quality assurance and device validation protocols.. Contraindications: Avoid use in patients with cardiomyopathy or uncontrolled malignant hyperthermia..
Insulin Pump,X-8836,Fresenius Medical Care,Version 11,2020-10-14,Class I,Q436561,Pediatric,Indicated for respiratory rate surveillance in infection control protocols.,Do not use in patients with severe cardiac arrhythmias or severe cardiomyopathy.,Not Applicable,14,10,11.0,7.7,16.0,Device Name: Insulin Pump. Model: X-8836. Manufacturer: Fresenius Medical Care. Indications: Indicated for respiratory rate surveillance in infection control protocols.. Contraindications: Do not use in patients with severe cardiac arrhythmias or severe cardiomyopathy..
Defibrillator,B-1763,Baxter International,v14.8,2015-04-01,Class I,UKCA33536,Infant (0-2),Used for therapeutic compression therapy in pediatric patients requiring wound debridement.,Not suitable for use with muscle relaxants or in unsupervised use.,Single-Use Sterile,25,24,15.0,11.82,11.0,Device Name: Defibrillator. Model: B-1763. Manufacturer: Baxter International. Indications: Used for therapeutic compression therapy in pediatric patients requiring wound debridement.. Contraindications: Not suitable for use with muscle relaxants or in unsupervised use..
Anesthesia Machine,FRE169,Fresenius Medical Care,2024-12-H,2021-09-23,Class IIb,D348438,Pediatric,Designed for tissue biopsy support in neonatal intensive care environments.,Not suitable for use in home use with radiation or during hyperbaric chambers.,Autoclave,12,17,9.0,76.2,30.0,Device Name: Anesthesia Machine. Model: FRE169. Manufacturer: Fresenius Medical Care. Indications: Designed for tissue biopsy support in neonatal intensive care environments.. Contraindications: Not suitable for use in home use with radiation or during hyperbaric chambers..
Insulin Pump,CAR833,Cardinal Health,2023-02-O,2023-04-04,Class I,Q922167,Neonatal,Designed for home-based phototherapy in stable paralyzed patients with chronic infectious diseases.,Contraindicated in patients with severe severe cardiac arrhythmias or uncontrolled renal insufficiency.,UV Sterilization,7,9,6.0,5.02,36.0,Device Name: Insulin Pump. Model: CAR833. Manufacturer: Cardinal Health. Indications: Designed for home-based phototherapy in stable paralyzed patients with chronic infectious diseases.. Contraindications: Contraindicated in patients with severe severe cardiac arrhythmias or uncontrolled renal insufficiency..
Pacemaker,Z-5129,Sartorius,2020-02-G,2025-05-09,Class III,TGA-705492,Pediatric,Indicated for emergency blood pressure stabilization in trauma center resuscitation rooms.,Contraindicated in patients with skin allergies or frostbite risk.,Steam Sterilization,7,15,10.0,0.08,40.0,Device Name: Pacemaker. Model: Z-5129. Manufacturer: Sartorius. Indications: Indicated for emergency blood pressure stabilization in trauma center resuscitation rooms.. Contraindications: Contraindicated in patients with skin allergies or frostbite risk..
Pulse Oximeter,BAX692,Baxter International,Version 4,2025-08-05,Class I,HDE136688,Neonatal,Intended for mobility restoration therapy in intensive care unit environments for critically ill patients.,None,Single-Use Sterile,3,6,4.0,0.46,29.0,Device Name: Pulse Oximeter. Model: BAX692. Manufacturer: Baxter International. Indications: Intended for mobility restoration therapy in intensive care unit environments for critically ill patients.. Contraindications: None.
Infusion Pump,Model 9846,Nipro Corporation,Version 13,2024-01-03,Class II,PMDA-586262,Adult and Pediatric,Designed for joint replacement support in neonatal intensive care environments.,Avoid use if patient has thrombocytopenia or is receiving sedatives.,Gamma Irradiation,9,16,8.0,2.8,20.0,Device Name: Infusion Pump. Model: Model 9846. Manufacturer: Nipro Corporation. Indications: Designed for joint replacement support in neonatal intensive care environments.. Contraindications: Avoid use if patient has thrombocytopenia or is receiving sedatives..
Pacemaker,X-9655,Edwards Lifesciences,2021-07-O,2015-11-19,Class II,IVDR-624978,Adult (18-65),Intended for surgical ophthalmic procedures in operating room settings.,Avoid use in patients with metallic implants or bone plates. Not suitable for sterile surgical fields.,Gamma Irradiation,10,7,15.0,0.18,40.0,Device Name: Pacemaker. Model: X-9655. Manufacturer: Edwards Lifesciences. Indications: Intended for surgical ophthalmic procedures in operating room settings.. Contraindications: Avoid use in patients with metallic implants or bone plates. Not suitable for sterile surgical fields..
Defibrillator,Model 9700,BioMérieux,Version 13,2022-12-26,Class I,BLA122696,Pediatric,Used for intraoperative calibration monitoring during complex transplant surgeries.,Avoid use in patients with joint prosthetics or artificial joints. Not suitable for storage conditions.,Single-Use Sterile,18,12,,14.99,39.0,Device Name: Defibrillator. Model: Model 9700. Manufacturer: BioMérieux. Indications: Used for intraoperative calibration monitoring during complex transplant surgeries.. Contraindications: Avoid use in patients with joint prosthetics or artificial joints. Not suitable for storage conditions..
Digital Thermometer,Plus569,Medtronic,Rev. 5.2,2019-01-27,Class III,BLA997309,Adult (18-65),Intended for quality control guidance during minimally invasive ophthalmic procedures.,None,Gamma Irradiation,10,15,3.0,0.14,21.0,Device Name: Digital Thermometer. Model: Plus569. Manufacturer: Medtronic. Indications: Intended for quality control guidance during minimally invasive ophthalmic procedures.. Contraindications: None.
Ventilator,3M 853,3M Healthcare,Rev. 7.3,2017-08-12,Class IIb,D849445,Infant (0-2),Designed for home-based respiratory support in stable ventilator-dependent patients with chronic respiratory conditions.,None,Steam Sterilization,21,28,10.0,53.12,28.0,Device Name: Ventilator. Model: 3M 853. Manufacturer: 3M Healthcare. Indications: Designed for home-based respiratory support in stable ventilator-dependent patients with chronic respiratory conditions.. Contraindications: None.
Ventilator,Model 3076,Fresenius Medical Care,Version 17,2018-11-19,Class IIa,IDE882018,Adult (>65),Intended for monitoring and measuring electrolyte balance in ventilator-dependent patients in hospital and clinical settings.,Avoid use in patients with active uncontrolled seizures or compromised nervous function.,Single-Use Sterile,10,28,18.0,48.82,29.0,Device Name: Ventilator. Model: Model 3076. Manufacturer: Fresenius Medical Care. Indications: Intended for monitoring and measuring electrolyte balance in ventilator-dependent patients in hospital and clinical settings.. Contraindications: Avoid use in patients with active uncontrolled seizures or compromised nervous function..
Infusion Pump,AES191,Aesculap,Version 17,2022-07-08,Class III,HC-264309,Adult,Intended for surgical intervention delivery in palliative care settings for terminal patients.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Not Applicable,12,16,6.0,6.61,34.0,Device Name: Infusion Pump. Model: AES191. Manufacturer: Aesculap. Indications: Intended for surgical intervention delivery in palliative care settings for terminal patients.. Contraindications: Contraindicated in presence of radio frequencies or MRI environments exposure..
Catheter,C-7810,Karl Storz,Rev. 10.7,2022-09-24,Class IIa,MDR-196399,Neonatal,Used for electrotherapy guidance in oncology treatment centers for cancer patients.,Contraindicated in patients with severe severe cardiac arrhythmias or uncontrolled malignant hyperthermia.,Dry Heat,10,8,12.0,5.46,30.0,Device Name: Catheter. Model: C-7810. Manufacturer: Karl Storz. Indications: Used for electrotherapy guidance in oncology treatment centers for cancer patients.. Contraindications: Contraindicated in patients with severe severe cardiac arrhythmias or uncontrolled malignant hyperthermia..
Surgical Robot,A-8837,Waters Corporation,2023-02-L,2023-03-01,Class IIa,MDR-950029,Adult (18-65),Intended for monitoring and measuring cardiac output in geriatric patients in hospital and clinical settings.,Avoid use in patients with metal implants or uncontrolled severe cardiac arrhythmias.,UV Sterilization,12,16,5.0,17.05,11.0,Device Name: Surgical Robot. Model: A-8837. Manufacturer: Waters Corporation. Indications: Intended for monitoring and measuring cardiac output in geriatric patients in hospital and clinical settings.. Contraindications: Avoid use in patients with metal implants or uncontrolled severe cardiac arrhythmias..
Electrosurgical Unit,A-5540,Olympus Corporation,v9.5,2018-05-21,Class III,PMA896639,Adult (18-65),Designed for dialysis optimization in chronic disease management programs.,Do not use if malformations is present or incision is infected.,Gamma Irradiation,20,14,11.0,4.5,11.0,Device Name: Electrosurgical Unit. Model: A-5540. Manufacturer: Olympus Corporation. Indications: Designed for dialysis optimization in chronic disease management programs.. Contraindications: Do not use if malformations is present or incision is infected..
Pulse Oximeter,A-6774,Mindray,Rev. 6.0,2020-05-21,Class IIa,MDR-579787,Neonatal,Indicated for emergency temperature stabilization in trauma center resuscitation rooms.,None,Pre-Sterilized,8,7,6.0,0.32,19.0,Device Name: Pulse Oximeter. Model: A-6774. Manufacturer: Mindray. Indications: Indicated for emergency temperature stabilization in trauma center resuscitation rooms.. Contraindications: None.
Orthopedic Implant,SIE682,Siemens Healthineers,2024-01-J,2017-11-19,Class IIb,BLA751333,Adult,Designed for phototherapy optimization in chronic disease management programs.,Avoid use if patient has autoimmune disorders or history of blood clots.,Not Applicable,3,7,21.0,0.02,42.0,Device Name: Orthopedic Implant. Model: SIE682. Manufacturer: Siemens Healthineers. Indications: Designed for phototherapy optimization in chronic disease management programs.. Contraindications: Avoid use if patient has autoimmune disorders or history of blood clots..
Nebulizer,JOH293,Johnson & Johnson,Rev. 4.5,2024-08-14,Class I,PMA119739,Infant (0-2),Designed for home-based compression therapy in stable sedated patients with chronic diabetes.,Do not use during local anesthesia administration or in comatose.,Not Applicable,10,5,12.0,6.34,19.0,Device Name: Nebulizer. Model: JOH293. Manufacturer: Johnson & Johnson. Indications: Designed for home-based compression therapy in stable sedated patients with chronic diabetes.. Contraindications: Do not use during local anesthesia administration or in comatose..
Nebulizer,Model 8779,Zimmer Biomet,Version 19,2016-11-21,Class III,TGA-535769,Pediatric,Designed for chemotherapy optimization in chronic disease management programs.,None,Gamma Irradiation,9,7,11.0,3.84,14.0,Device Name: Nebulizer. Model: Model 8779. Manufacturer: Zimmer Biomet. Indications: Designed for chemotherapy optimization in chronic disease management programs.. Contraindications: None.
Ventilator,Pro846,ResMed,v9.9,2015-01-03,Class IIb,PMA600452,Adult and Pediatric,Designed for dialysis optimization in chronic disease management programs.,Do not use if sensor failure is detected or routine maintenance has expired.,Dry Heat,10,20,11.0,57.48,9.0,Device Name: Ventilator. Model: Pro846. Manufacturer: ResMed. Indications: Designed for dialysis optimization in chronic disease management programs.. Contraindications: Do not use if sensor failure is detected or routine maintenance has expired..
Ultrasound Scanner,SIE570,Siemens Healthineers,Rev. 1.0,2023-05-12,Class III,D211289,Pediatric,Designed for tissue regeneration in patients with chronic conditions under medical supervision.,Not suitable for use during cryotherapy or CT scan.,UV Sterilization,6,8,12.0,13.76,38.0,Device Name: Ultrasound Scanner. Model: SIE570. Manufacturer: Siemens Healthineers. Indications: Designed for tissue regeneration in patients with chronic conditions under medical supervision.. Contraindications: Not suitable for use during cryotherapy or CT scan..
Orthopedic Implant,Max797,Alcon,2020-06-Z,2024-09-01,Class I,NDA722899,Adult,Used for intraoperative infection prevention monitoring during complex reconstructive surgeries.,Do not use if battery depletion is detected or quality control has expired.,Hydrogen Peroxide Plasma,5,4,21.0,0.09,37.0,Device Name: Orthopedic Implant. Model: Max797. Manufacturer: Alcon. Indications: Used for intraoperative infection prevention monitoring during complex reconstructive surgeries.. Contraindications: Do not use if battery depletion is detected or quality control has expired..
Ventilator,C-1899,Sonova,Rev. 10.9,2024-03-29,Class III,P246203,Adult (>65),Intended for patient positioning guidance during minimally invasive urological procedures.,Contraindicated in patients with epilepsy or unable to follow instructions.,Pre-Sterilized,11,29,19.0,87.82,35.0,Device Name: Ventilator. Model: C-1899. Manufacturer: Sonova. Indications: Intended for patient positioning guidance during minimally invasive urological procedures.. Contraindications: Contraindicated in patients with epilepsy or unable to follow instructions..
Anesthesia Machine,BOS344,Boston Scientific,v9.4,2022-12-07,Class III,NDA566083,Geriatric,Used for fluid resuscitation administration in pediatric hospital units under specialist supervision.,Not recommended for use in substance abuse patients or those with peripheral vascular disease.,UV Sterilization,11,25,20.0,18.25,26.0,Device Name: Anesthesia Machine. Model: BOS344. Manufacturer: Boston Scientific. Indications: Used for fluid resuscitation administration in pediatric hospital units under specialist supervision.. Contraindications: Not recommended for use in substance abuse patients or those with peripheral vascular disease..
Wound Care System,BOS510,Boston Scientific,v10.2,2025-09-16,Class IIb,K438550,All,Indicated for pH levels optimization in sleep medicine centers for respiratory disorders.,Not suitable for use in power outages with explosion or during sterile surgical fields.,Steam Sterilization,10,12,6.0,0.57,11.0,Device Name: Wound Care System. Model: BOS510. Manufacturer: Boston Scientific. Indications: Indicated for pH levels optimization in sleep medicine centers for respiratory disorders.. Contraindications: Not suitable for use in power outages with explosion or during sterile surgical fields..
Anesthesia Machine,C-7704,BioMérieux,Rev. 9.8,2015-04-27,Class I,K582832,Geriatric,Designed for fluid resuscitation optimization in chronic disease management programs.,Do not use in patients with stroke or severe thrombocytopenia.,Not Applicable,18,16,20.0,50.06,29.0,Device Name: Anesthesia Machine. Model: C-7704. Manufacturer: BioMérieux. Indications: Designed for fluid resuscitation optimization in chronic disease management programs.. Contraindications: Do not use in patients with stroke or severe thrombocytopenia..
Insulin Pump,C-8763,Synthes,Version 15,2015-03-24,Class III,Q876792,Infant (0-2),Intended for monitoring and measuring blood pressure in immunocompromised patients in hospital and clinical settings.,Contraindicated in patients with thrombocytopenia or severe severe anemia.,Not Applicable,11,17,8.0,6.4,15.0,Device Name: Insulin Pump. Model: C-8763. Manufacturer: Synthes. Indications: Intended for monitoring and measuring blood pressure in immunocompromised patients in hospital and clinical settings.. Contraindications: Contraindicated in patients with thrombocytopenia or severe severe anemia..
Defibrillator,X-7521,Waters Corporation,v8.6,2022-12-20,Class III,D108568,Adult,Used for emergency intubation in acute orthopedic injuries situations requiring immediate care.,Contraindicated in patients with uncontrolled seizures or severe malignant hyperthermia.,Not Applicable,22,12,14.0,6.53,39.0,Device Name: Defibrillator. Model: X-7521. Manufacturer: Waters Corporation. Indications: Used for emergency intubation in acute orthopedic injuries situations requiring immediate care.. Contraindications: Contraindicated in patients with uncontrolled seizures or severe malignant hyperthermia..
